Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
DLF City Phase 2,L14/1,690 square feet,1st Floor,4 BHK,READY,6.5 crores,NORTHEAST,NO,YES,,,,,,,,,,,
Sector 46,1434,263 square feet,4th Floor,3 BHK,READY,2.1 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 45,268,342 square feet,1st Floor,4 BHK,READY,2.4 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 27,293,204 square feet,3rd Floor,3 BHK,READY,1.9 crores,WEST,NO,NO,,,,,,,,,,,
Sector 27,293,204 square feet,4th Floor,3 BHK,READY,2.2 crores,WEST,NO,NO,,,,,,,,,,,
Sector 43,739,263 square feet,3rd Floor,3 BHK,READY,2.3 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A46/3,316 square feet,2nd Floor,4 BHK,READY,4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A46/3,316 square feet,3rd Floor,4 BHK,READY,4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A46/3,316 square feet,4th Floor,4 BHK,READY,4.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A28/18,502 square feet,1st Floor,4 BHK,READY,6.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A28/18,502 square feet,2nd Floor,4 BHK,READY,5.75 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A28/18,502 square feet,3rd Floor,4 BHK,READY,5.75 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A29/15,502 square feet,1st Floor,4 BHK,READY,6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A49/2,502 square feet,2nd Floor,4 BHK,READY,6.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A3/11,502 square feet,1st Floor,4 BHK,READY,6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A3/11,502 square feet,2nd Floor,4 BHK,READY,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A3/11,502 square feet,3rd Floor,4 BHK,READY,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/12,502 square feet,1st Floor,4 BHK,READY,6.1 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A41/32,200 square feet,1st Floor,3 BHK,READY,2.45 crores,NORTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A44/15A,200 square feet,1st Floor,3 BHK,READY,2.1 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A44/15A,200 square feet,2nd Floor,3 BHK,READY,2 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A44/15A,200 square feet,3rd Floor,3 BHK,READY,2 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A48/22,502 square feet,2nd Floor,4 BHK,READY,6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A53/3,502 square feet,1st Floor,4 BHK,READY,6.25 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A53/3,502 square feet,2nd Floor,4 BHK,READY,5.75 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A53/3,502 square feet,3rd Floor,4 BHK,READY,5.75 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A53/3,502 square feet,4th Floor,4 BHK,READY,6.75 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,1st Floor,4 BHK,READY,8.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,2nd Floor,4 BHK,READY,6.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,3rd Floor,4 BHK,READY,6.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,1st Floor,4 BHK,READY,6.4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,2nd Floor,4 BHK,READY,6.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,3rd Floor,4 BHK,READY,6.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,4th Floor,4 BHK,READY,6.9 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A18/1,502 square feet,3rd Floor,4 BHK,READY,7.5 crores,NORTHWEST,NO,YES,,,,,,,,,,,
